No.  Insertion  Selection
1       0.000   0.000
2       0.000   0.000
3       0.000   0.000
4       0.000   0.000
5       0.000   0.000
6       0.000   0.001
7       0.000   0.000
8       0.000   0.000
9       0.001   0.000
10      0.000   0.002
11      0.001   0.001
12      0.002   0.001
13      0.002   0.001
14      0.002   0.001
15      0.003   0.001
16      0.003   0.001
17      0.003   0.001
18      0.004   0.002
19      0.003   0.002
20      0.004   0.002
21      0.005   0.001
22      0.005   0.003
23      0.006   0.002
24      0.006   0.002
25      0.007   0.003
26      0.007   0.002
27      0.007   0.004
28      0.007   0.004
29      0.008   0.004
30      0.008   0.004
31      0.008   0.005
32      0.009   0.004
33      0.010   0.005
34      0.010   0.005
35      0.011   0.006
36      0.012   0.006
37      0.013   0.006
38      0.014   0.007
39      0.014   0.007
40      0.015   0.006
41      0.016   0.007
42      0.017   0.009
43      0.017   0.008
44      0.019   0.008
45      0.019   0.010
46      0.020   0.009
47      0.020   0.010
48      0.022   0.011
49      0.021   0.012
50      0.023   0.011
51      0.025   0.011
52      0.025   0.014
53      0.028   0.013
54      0.030   0.014
55      0.029   0.014
56      0.028   0.014
57      0.030   0.015
58      0.033   0.018
59      0.033   0.017
60      0.035   0.017
61      0.035   0.018
62      0.038   0.018
63      0.037   0.021
64      0.039   0.019
65      0.039   0.019
66      0.041   0.020
67      0.044   0.022
96      0.089   0.044
97      0.087   0.048
98      0.091   0.045
99      0.095   0.049
100     0.096   0.050
101     0.095   0.048
102     0.097   0.051
103     0.101   0.053
104     0.099   0.050
105     0.113   0.055
106     0.111   0.053
107     0.111   0.055
108     0.109   0.053
109     0.110   0.057
110     0.114   0.057
111     0.113   0.060
112     0.120   0.060
113     0.124   0.062
114     0.119   0.061
115     0.126   0.063
116     0.129   0.063
117     0.125   0.065
118     0.131   0.065
119     0.134   0.067
120     0.135   0.069
121     0.142   0.073
122     0.141   0.072
123     0.140   0.073
124     0.146   0.070
125     0.145   0.076
126     0.148   0.073
127     0.153   0.078
128     0.156   0.079
129     0.154   0.080
130     0.156   0.082
131     0.158   0.083
132     0.161   0.083
133     0.167   0.083
134     0.174   0.085
135     0.168   0.088
136     0.173   0.088
137     0.177   0.085
138     0.181   0.095
139     0.184   0.092
140     0.181   0.092
141     0.185   0.095
142     0.193   0.096
143     0.193   0.097
144     0.194   0.101
145     0.205   0.102
